variable,run,channel,chi2,dof,p_0
pt_1,355443,mm,55.9454534999,24,0.958594443301 +/- 0.0284278658695
pt_1,355444,mm,25.5534159194,24,0.973968606529 +/- 0.0345334086684
pt_1,355445,mm,14.8165008645,26,0.987304848083 +/- 0.0322506857019
pt_1,355558,mm,60.8927829469,35,0.992197646909 +/- 0.0116103244018
pt_1,355559,mm,30.7152688673,33,0.993563043985 +/- 0.0153250190932
pt_1,355679,mm,62.696350632,23,0.913454064417 +/- 0.0373444344336
pt_1,355680,mm,75.3872765312,38,0.997542312777 +/- 0.00582228082274
pt_1,355768,mm,10.8957145247,20,0.994549856151 +/- 0.0367068975117
pt_1,355769,mm,41.4543017665,36,0.99626712405 +/- 0.0100882724424
pt_2,355443,mm,8.69806025604,14,0.9952337091 +/- 0.0288953165878
pt_2,355444,mm,13.5501169758,12,0.986144419608 +/- 0.0346399646001
pt_2,355445,mm,12.7454220581,12,0.988765554179 +/- 0.032245610228
pt_2,355558,mm,19.3308823268,23,0.997681647901 +/- 0.0116350826416
pt_2,355559,mm,12.2598584145,18,0.998125598642 +/- 0.0153598868208
pt_2,355679,mm,5.95495417896,11,0.993877301132 +/- 0.0388326643354
pt_2,355680,mm,44.3493118617,26,0.99867505626 +/- 0.00582284155754
pt_2,355768,mm,5.28903476582,9,0.997664342617 +/- 0.0366820351039
pt_2,355769,mm,21.2552962634,20,0.998256553163 +/- 0.0100943512093
eta_1,355443,mm,46.0725610583,39,0.9614455556 +/- 0.0283647131185
eta_1,355444,mm,38.3486996672,39,0.953460315938 +/- 0.0340163495088
eta_1,355445,mm,37.9030677824,39,0.960227630868 +/- 0.0317424649761
eta_1,355558,mm,46.042637149,39,0.993754389969 +/- 0.0116103915673
eta_1,355559,mm,28.5315225747,39,0.993262922651 +/- 0.0153145910675
eta_1,355679,mm,52.011920536,39,0.921313282094 +/- 0.0373338635932
eta_1,355680,mm,33.6671301209,39,0.998857230572 +/- 0.00582274762383
eta_1,355768,mm,33.9689429561,39,0.954404103415 +/- 0.0357921686049
eta_1,355769,mm,27.4557378225,39,0.997198679949 +/- 0.0100868520977
eta_2,355443,mm,34.5446015263,39,0.97109238366 +/- 0.0285066590424
eta_2,355444,mm,41.4769072074,39,0.949663947564 +/- 0.0339485609523
eta_2,355445,mm,49.4245063844,39,0.94813797861 +/- 0.0315420068118
eta_2,355558,mm,33.0754574311,39,0.995513367142 +/- 0.0116206624072
eta_2,355559,mm,41.8379523895,39,0.990120908527 +/- 0.0152903493615
eta_2,355679,mm,53.6940788063,39,0.918768413304 +/- 0.0372822657891
eta_2,355680,mm,66.5406983504,39,0.997741397157 +/- 0.00581949439018
eta_2,355768,mm,42.0517848911,39,0.943554651153 +/- 0.0355881484524
eta_2,355769,mm,50.3949856736,39,0.994858179199 +/- 0.0100750078413
phi_1,355443,mm,52.2839464726,39,0.956211100107 +/- 0.0282992370482
phi_1,355444,mm,42.2129089178,39,0.948770741605 +/- 0.0339325920454
phi_1,355445,mm,40.1189154451,39,0.957902502156 +/- 0.0317040105267
phi_1,355558,mm,39.1668174182,39,0.99468419959 +/- 0.0116189745665
phi_1,355559,mm,25.1766983613,39,0.994052280094 +/- 0.0153242941143
phi_1,355679,mm,34.2203184133,39,0.9482294729 +/- 0.0378752924805
phi_1,355680,mm,33.696797428,39,0.998855446574 +/- 0.00582471985475
phi_1,355768,mm,53.3178789143,39,0.928336184255 +/- 0.0353236986811
phi_1,355769,mm,46.091493326,39,0.995293424556 +/- 0.0100813267298
phi_2,355443,mm,36.4930085732,39,0.969461917512 +/- 0.0284827176186
phi_2,355444,mm,33.8368666532,39,0.958885945743 +/- 0.0341337150799
phi_2,355445,mm,47.6169561518,39,0.950034673503 +/- 0.0315735400248
phi_2,355558,mm,44.8659877482,39,0.993909869995 +/- 0.0116152394361
phi_2,355559,mm,26.4472407938,39,0.993752128327 +/- 0.0153219803722
phi_2,355679,mm,22.2890314845,39,0.96627983134 +/- 0.03823408732
phi_2,355680,mm,44.1376063824,39,0.998501167944 +/- 0.00582299458685
phi_2,355768,mm,47.9277043164,39,0.935667510985 +/- 0.0354390962772
phi_2,355769,mm,49.3315814159,39,0.99496050859 +/- 0.0100816997066
m_vis,355443,mm,54.4402649952,38,0.955889869951 +/- 0.0283040668526
m_vis,355444,mm,36.4982729553,37,0.958101698873 +/- 0.0341417558849
m_vis,355445,mm,39.3314050121,36,0.962603220859 +/- 0.0318458585514
m_vis,355558,mm,61.1763184225,39,0.991701530328 +/- 0.0115983932172
m_vis,355559,mm,47.1032689952,39,0.988877622433 +/- 0.0152807463675
m_vis,355679,mm,23.8702710623,28,0.98177232023 +/- 0.0388952751915
m_vis,355680,mm,69.5278150445,39,0.99764000492 +/- 0.00581919868903
m_vis,355768,mm,32.864348941,35,0.960744332443 +/- 0.0360019867028
m_vis,355769,mm,54.1985337795,39,0.994470101645 +/- 0.0100730426035
pt_vis,355443,mm,65.459378674,30,0.949879908993 +/- 0.0283383338622
pt_vis,355444,mm,47.3306050943,27,0.952674096749 +/- 0.0342948350897
pt_vis,355445,mm,31.5970410325,31,0.970536832877 +/- 0.032008039432
pt_vis,355558,mm,136.639347367,38,0.981700688041 +/- 0.0115619402162
pt_vis,355559,mm,100.18246243,38,0.976840218071 +/- 0.0152023485839
pt_vis,355679,mm,32.9189978049,29,0.956553760843 +/- 0.0382596712202
pt_vis,355680,mm,459.840127306,39,0.984349064793 +/- 0.00578817002594
pt_vis,355768,mm,22.8269861904,29,0.975330237212 +/- 0.0363188388196
pt_vis,355769,mm,148.966889463,39,0.984774438935 +/- 0.0100325229456
nTrackerLayers_1_endcap,355443,mm,5.86951133715,10,0.988453165603 +/- 0.0450167148467
nTrackerLayers_1_endcap,355444,mm,7.22001332086,10,0.979788920623 +/- 0.0529979669416
nTrackerLayers_1_endcap,355445,mm,4.60610312152,10,0.989079912313 +/- 0.0494915060259
nTrackerLayers_1_endcap,355558,mm,33.6564066494,12,0.988903261903 +/- 0.0180567963327
nTrackerLayers_1_endcap,355559,mm,28.1519102201,12,0.983556127208 +/- 0.0239688773965
nTrackerLayers_1_endcap,355679,mm,12.6449044658,10,0.947330997373 +/- 0.0631056227349
nTrackerLayers_1_endcap,355680,mm,75.2463932133,12,0.9937622156 +/- 0.00907639893483
nTrackerLayers_1_endcap,355768,mm,8.59597085176,10,0.971914764637 +/- 0.0568377010393
nTrackerLayers_1_endcap,355769,mm,25.9136633052,12,0.993477557688 +/- 0.0158131994244
nTrackerLayers_2_endcap,355443,mm,8.7636557876,11,0.981578325097 +/- 0.045557028712
nTrackerLayers_2_endcap,355444,mm,23.5792055762,11,0.930339634891 +/- 0.0524669589999
